city,state,state_code,county_code
Newcastle,WY,56,56045
Upton,WY,56,56045
Four Corners,WY,56,56045
Osage,WY,56,56045
Ten Sleep,WY,56,56043
Worland,WY,56,56043
Bear River,WY,56,56041
Evanston,WY,56,56041
Lyman,WY,56,56041
Mountain View,WY,56,56041
Fort Bridger,WY,56,56041
Lonetree,WY,56,56041
Lontetree,WY,56,56041
Piedmont,WY,56,56041
Robertson,WY,56,56041
Urie,WY,56,56041
Jackson,WY,56,56039
Alta,WY,56,56039
Colter Bay,WY,56,56039
Hoback Junction,WY,56,56039
Jackson Hole,WY,56,56039
Jenny Lake,WY,56,56039
Kelly,WY,56,56039
Moose,WY,56,56039
Moran,WY,56,56039
Teton Village,WY,56,56039
Wilson,WY,56,56039
Bairoil,WY,56,56037
Granger,WY,56,56037
Green River,WY,56,56037
Rock Springs,WY,56,56037
Superior,WY,56,56037
Wamsutter,WY,56,56037
Bitter Creek,WY,56,56037
Eden,WY,56,56037
Farson,WY,56,56037
Lamont,WY,56,56037
Little America,WY,56,56037
Mc Kinnon,WY,56,56037
McKinnon,WY,56,56037
Point of Rocks,WY,56,56037
Quealy,WY,56,56037
Red Desert,WY,56,56037
Reliance,WY,56,56037
Tipton,WY,56,56037
Big Piney,WY,56,56035
Marbleton,WY,56,56035
Pinedale,WY,56,56035
Bondurant,WY,56,56035
Boulder,WY,56,56035
Cora,WY,56,56035
Daniel,WY,56,56035
Clearmont,WY,56,56033
Dayton,WY,56,56033
Ranchester,WY,56,56033
Sheridan,WY,56,56033
Acme,WY,56,56033
Banner,WY,56,56033
Big Horn,WY,56,56033
Leiter,WY,56,56033
Parkman,WY,56,56033
Story,WY,56,56033
Wolf,WY,56,56033
Wyarno,WY,56,56033
Chugwater,WY,56,56031
Glendo,WY,56,56031
Guernsey,WY,56,56031
Hartville,WY,56,56031
Wheatland,WY,56,56031
Bordeaux,WY,56,56031
Diamond,WY,56,56031
Slater,WY,56,56031
Sunrise,WY,56,56031
Uva,WY,56,56031
Cody,WY,56,56029
Frannie,WY,56,56029
Manderson,WY,56,56029
Meeteetse,WY,56,56029
Powell,WY,56,56029
Clark,WY,56,56029
Garland,WY,56,56029
Heart Mountain,WY,56,56029
Mammoth Hot Springs,WY,56,56029
Mantua,WY,56,56029
Odonnell Spur,WY,56,56029
Ralston,WY,56,56029
Wapiti,WY,56,56029
Willwood,WY,56,56029
Yellowstone National Park,WY,56,56029
Lusk,WY,56,56027
Manville,WY,56,56027
Van Tassell,WY,56,56027
Keeline,WY,56,56027
Kirtley,WY,56,56027
Lance Creek,WY,56,56027
Node,WY,56,56027
Bar Nunn,WY,56,56025
Casper,WY,56,56025
Edgerton,WY,56,56025
Evansville,WY,56,56025
Midwest,WY,56,56025
Mills,WY,56,56025
Alcova,WY,56,56025
Allendale,WY,56,56025
Arminto,WY,56,56025
Hiland,WY,56,56025
Moneta,WY,56,56025
Natrona,WY,56,56025
Powder River,WY,56,56025
Afton,WY,56,56023
Alpine,WY,56,56023
Cokeville,WY,56,56023
Diamondville,WY,56,56023
Kemmerer,WY,56,56023
La Barge,WY,56,56023
Opal,WY,56,56023
Thayne,WY,56,56023
Auburn,WY,56,56023
Bedford,WY,56,56023
Etna,WY,56,56023
Fairview,WY,56,56023
Fontenelle,WY,56,56023
Freedom,WY,56,56023
Frontier,WY,56,56023
Grover,WY,56,56023
Hamsfork,WY,56,56023
Raymond,WY,56,56023
Smoot,WY,56,56023
Star Valley Ranch,WY,56,56023
Turnerville,WY,56,56023
Albin,WY,56,56021
Burns,WY,56,56021
Cheyenne,WY,56,56021
Pine Bluffs,WY,56,56021
Archer,WY,56,56021
Carpenter,WY,56,56021
Egbert,WY,56,56021
Granite Canyon,WY,56,56021
Harriman,WY,56,56021
Hillsdale,WY,56,56021
Horse Creek,WY,56,56021
Iron Mountain,WY,56,56021
Lindbergh,WY,56,56021
Meriden,WY,56,56021
Buffalo,WY,56,56019
Kaycee,WY,56,56019
Linch,WY,56,56019
Mayoworth,WY,56,56019
Saddlestring,WY,56,56019
Sussex,WY,56,56019
Kirby,WY,56,56017
Thermopolis,WY,56,56017
Worland,WY,56,56017
Grass Creek,WY,56,56017
Fort Laramie,WY,56,56015
Lingle,WY,56,56015
Torrington,WY,56,56015
Yoder,WY,56,56015
Hawk Springs,WY,56,56015
Huntley,WY,56,56015
